call_number,cf1,fm1,fm2,cf2,fm3,cf3,fm4
304,0.015248,0.001084,0.001664,,,,
305,0.015332,0.0011,0.000564,,,,
306,0.014932,0.001928,0.002136,,,,
307,0.014816,0.001928,0.001252,,,,
308,0.01514,0.001928,0.001928,,,,
309,0.01498,0.001928,0.001088,,,,
310,0.015404,0.001928,0.001664,,,,
311,0.015516,0.001928,0.000552,,,,
312,0.014608,0.001252,0.002136,,,,
313,0.01448,0.001256,0.00126,,,,
314,0.014816,0.001252,0.001928,,,,
315,0.014632,0.001256,0.001108,,,,
316,0.01508,0.001252,0.001664,,,,
317,0.015176,0.001256,0.000564,,,,
318,0.014736,0.002124,0.002136,,,,
319,0.014616,0.002128,0.001252,,,,
320,0.014944,0.002124,0.001928,,,,
321,0.01478,0.002128,0.001088,,,,
322,0.015208,0.002124,0.001664,,,,
323,0.015316,0.002128,0.000552,,,,
